block,maxbay,maxstack,maxtier
51,86,6,5
52,94,6,5
53,87,6,5
54,88,6,5
55,87,6,5
56,93,6,5
57,94,6,5
58,90,6,5
59,90,6,5
61,81,6,5
62,86,6,5
63,86,6,5
64,88,6,5
65,90,6,5
66,92,6,5
67,92,6,5
68,94,6,5
69,90,6,5
71,92,6,5
72,92,6,5
73,92,6,5
74,92,6,5
75,92,6,5
76,96,6,5
77,96,6,5
78,96,6,5
79,82,6,5
81,94,6,5
82,92,6,5
83,94,6,5
84,94,6,5
85,94,6,5
86,94,6,5
87,85,6,5
88,93,6,5
89,86,6,5
91,84,6,5
92,94,6,5
96,82,6,5
97,92,6,5
98,84,6,5
99,58,6,5
5A,94,6,5
5B,94,6,5
5E,94,6,5
5F,58,8,5
5G,64,9,6
5H,56,12,6
5K,54,9,6
5N,64,6,5
5S,62,6,5
6A,96,6,5
6B,92,6,5
6C,88,6,5
6F,98,8,6
6G,89,9,6
6H,92,9,6
6M,94,19,6
6N,67,6,5
6S,68,6,5
7A,96,6,5
7L,88,19,6
7M,72,19,6
8A,86,6,5
8M,78,18,6
9A,74,6,5
9L,38,19,6
9M,34,19,6
