block,1L,1R,2L,2R,3L,3R,4L,4R,5L,5R,6L,6R,7L,7R,8L,8R,9L,9R
51,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
52,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
53,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
54,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
55,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
56,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
57,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
58,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
59,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5A,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5B,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5E,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5F,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5G,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5H,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5K,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5N,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
5S,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3,4,4
61,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
62,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
63,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
64,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
65,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
66,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
67,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
68,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
69,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6A,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6B,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6C,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6F,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6G,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6H,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6M,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6N,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
6S,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2,3,3
71,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
72,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
73,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
74,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
75,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
76,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
77,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
78,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
79,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
7A,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
7L,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
7M,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1,2,2
81,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
82,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
83,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
84,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
85,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
86,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
87,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
88,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
89,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
8A,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
8M,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,1,1
91,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
92,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
96,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
97,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
98,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
99,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
9A,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
9L,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
9M,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
